OverallQual,GrLivArea,TotalBsmtSF,YearBuilt,Location,SalePrice
4,1031,0,1984,Bangalore,49036
8,1924,0,2010,Bangalore,231418
4,1244,0,1993,Kolkata,44894
6,1584,0,1996,Bangalore,123601
5,2864,0,2015,Gurgaon,252796
6,705,0,2007,Kolkata,43961
5,1487,0,2022,Bangalore,130588
6,1640,0,2005,Bangalore,142800
6,1467,0,2017,Gurgaon,158153
5,1513,0,2010,Bangalore,113070
7,1018,0,2015,Gurgaon,132921
7,1749,0,2014,Kolkata,153478
6,1186,0,2010,Bangalore,131160
6,1992,0,2023,Kolkata,139606
7,1485,0,2005,Bangalore,143119
6,2384,0,1998,Gurgaon,194643
6,1475,0,2016,Bangalore,147377
6,1834,0,2021,Gurgaon,215229
8,1152,0,1980,Kolkata,69038
4,1554,0,2010,Bangalore,97519
7,1646,0,2022,Bangalore,192180
3,1442,0,2018,Gurgaon,95846
7,1151,0,2024,Kolkata,108109
9,1322,0,2012,Kolkata,147104
7,2557,0,2015,Bangalore,241969
6,1803,214,2004,Gurgaon,204889
5,2210,0,2023,Bangalore,193883
6,1748,0,2006,Gurgaon,194135
6,1984,0,2018,Gurgaon,212506
5,892,0,2008,Bangalore,55306
6,1294,0,2013,Bangalore,118848
7,1282,0,2017,Kolkata,115134
5,2674,0,2011,Gurgaon,263163
5,1965,0,2022,Gurgaon,209695
4,2136,0,2008,Bangalore,117019
7,2183,0,2015,Gurgaon,325488
7,2696,0,2005,Gurgaon,287171
6,1472,0,2008,Bangalore,114216
8,3272,0,2009,Gurgaon,462123
6,1276,260,1993,Bangalore,87701
7,1147,0,1990,Bangalore,105037
7,728,0,2016,Kolkata,61959
6,2572,0,2015,Bangalore,254539
5,2276,0,2016,Gurgaon,231225
9,1429,0,1970,Kolkata,84132
5,1687,0,2005,Kolkata,84006
5,2207,0,2000,Gurgaon,189317
7,2872,0,2019,Gurgaon,344121
7,787,0,2021,Bangalore,96115
4,1712,0,2002,Gurgaon,132010
8,1789,0,2016,Gurgaon,304283
6,823,0,1993,Gurgaon,75509
4,1987,0,2003,Bangalore,125665
8,1555,0,1994,Bangalore,146505
7,1840,0,2003,Bangalore,166424
4,2585,0,2016,Bangalore,176616
9,1697,0,2022,Bangalore,265756
7,1306,0,2000,Bangalore,125404
6,1911,0,2012,Gurgaon,198980
